Pression: 367  Nb0: 1000  Amp: 337 | Purge: N | Pompe: N
Pression: 390  Nb0: 1000  Amp: 353 | Purge: N | Pompe: N
Pression: 377  Nb0: 1000  Amp: 337 | Purge: N | Pompe: N
Pression: 180  Nb0: 501  Amp: 295 | Purge: N | Pompe: N
Pression: 126  Nb0: 535  Amp: 302 | Purge: N | Pompe: N
Pression: 108  Nb0: 1000  Amp: 284 | Purge: N | Pompe: N
Pression: 86  Nb0: 1000  Amp: 285 | Purge: N | Pompe: N
Pression: 99  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 53  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 70  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 40  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 60  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 83  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 50  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 58  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 64  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 83  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 40  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 58  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 80  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 33  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 59  Nb0: 1000  Amp: 311 | Purge: N | Pompe: N
Pression: 77  Nb0: 1000  Amp: 288 | Purge: N | Pompe: N
Pression: 84  Nb0: 83  Amp: 314 | Purge: N | Pompe: N
Condition pour déclencher valve purge <100[DEBUG] P:84 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 98
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:90 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 84
Condition pour déclencher valve purge <100[DEBUG] P:79 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 90
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:71 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 79
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:52 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 71
Condition pour déclencher valve purge <100[DEBUG] P:63 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 52
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:75 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 63
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:96 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 75
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:78 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 96
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:50 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 78
Condition pour déclencher valve purge <100[DEBUG] P:56 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 50
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:74 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 56
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:96 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 74
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:83 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 96
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:77 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 83
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:71 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 77
Condition pour déclencher valve purge <100[DEBUG] P:51 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 71
Condition pour déclencher valve purge <100[DEBUG] P:57 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 51
Condition pour déclencher valve purge <100[DEBUG] P:71 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 57
Condition pour déclencher valve purge <100[DEBUG] P:95 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 71
